,CBS_Class,CBS_MY_Order,CBS_MY_Rate,CBS_XS_MY,CBS_DXPZ,CBS_XSCS,CBS_CRTAX,Book_Class,CBS_BK_Average_price,CBS_BK_MY_Order,CBS_BK_MY_Rate,CBS_BK_XS_MY,CBS_BK_DXPZ,CBS_BK_XSCS,FXS_Class,User_Area,User_Get_Price,FXS_Discount,FXS_BK_MY_Order,FXS_BK_MY_Rate,FXS_BK_MY,FXS_BK_DXPZ,FXS_BK_XSCS,FXS_BK_Average_Price
79,1,18,1.1388,94573733.0,3525,2243297,0.08,5,33.71,406,0.0007,4719.0,4,140,4,3,9.0,0.585,395,0.0007,765.0,2,23,33.26
80,1,18,1.1388,94573733.0,3525,2243297,0.07,3,39.8,10,1.8555,27048860.7,691,679588,4,3,9.0,0.585,11,1.8516,5426908.8,559,136879,39.65
81,1,18,1.1388,94573733.0,3525,2243297,0.08,7,52.28,46,0.3203,2122244.4,54,40590,4,3,9.0,0.585,61,0.2047,293664.4,45,5879,49.95
82,1,18,1.1388,94573733.0,3525,2243297,0.07,2,34.26,124,0.0898,1235339.0,232,36053,4,3,9.0,0.585,107,0.1046,267014.4,187,8597,31.06
83,1,18,1.1388,94573733.0,3525,2243297,0.07,4,46.33,58,0.4259,2140406.2,253,46198,4,3,9.0,0.585,65,0.3896,395749.8,217,8945,44.24
84,1,18,1.1388,94573733.0,3525,2243297,0.07,8,35.97,25,0.4022,36868.0,2,1025,4,3,9.0,0.585,15,0.5779,9972.0,1,277,36.0
85,1,18,1.1388,94573733.0,3525,2243297,0.07,1,43.05,2,4.096,61985010.1,2285,1439682,2,1,9.0,0.585,4,2.7587,7737843.7,1758,187628,41.24
86,1,18,1.1388,94573733.0,3525,2243297,0.08,5,33.71,406,0.0007,4719.0,4,140,2,1,9.0,0.585,414,0.0003,477.0,2,15,31.8
87,1,18,1.1388,94573733.0,3525,2243297,0.07,3,39.8,10,1.8555,27048860.7,691,679588,2,1,9.0,0.585,15,1.357,4078968.0,568,102868,39.65
88,1,18,1.1388,94573733.0,3525,2243297,0.08,7,52.28,46,0.3203,2122244.4,54,40590,2,1,9.0,0.585,82,0.1284,158356.4,39,3231,49.01
89,1,18,1.1388,94573733.0,3525,2243297,0.07,2,34.26,124,0.0898,1235339.0,232,36053,2,1,9.0,0.585,143,0.0609,183104.4,177,5944,30.8
90,1,18,1.1388,94573733.0,3525,2243297,0.07,4,46.33,58,0.4259,2140406.2,253,46198,2,1,9.0,0.585,83,0.2334,228104.4,192,5336,42.75
91,1,18,1.1388,94573733.0,3525,2243297,0.07,8,35.97,25,0.4022,36868.0,2,1025,2,1,9.0,0.585,30,0.3528,5904.0,1,164,36.0
92,1,18,1.1388,94573733.0,3525,2243297,0.07,1,43.05,2,4.096,61985010.1,2285,1439682,1,1,9.0,0.585,2,4.2681,21092404.6,1988,493968,42.7
93,1,18,1.1388,94573733.0,3525,2243297,0.07,6,13.6,498,0.0,285.6,4,21,1,1,9.0,0.585,481,0.0,285.6,4,21,13.6
94,1,18,1.1388,94573733.0,3525,2243297,0.08,5,33.71,406,0.0007,4719.0,4,140,1,1,9.0,0.585,389,0.0006,1378.0,2,41,33.61
95,1,18,1.1388,94573733.0,3525,2243297,0.07,3,39.8,10,1.8555,27048860.7,691,679588,1,1,9.0,0.585,11,1.8353,8687480.1,624,217406,39.96
96,1,18,1.1388,94573733.0,3525,2243297,0.08,7,52.28,46,0.3203,2122244.4,54,40590,1,1,9.0,0.585,32,0.4245,785199.2,46,14255,55.08
97,1,18,1.1388,94573733.0,3525,2243297,0.07,2,34.26,124,0.0898,1235339.0,232,36053,1,1,9.0,0.585,136,0.0731,382846.6,208,9945,38.5
98,1,18,1.1388,94573733.0,3525,2243297,0.07,4,46.33,58,0.4259,2140406.2,253,46198,1,1,9.0,0.585,45,0.5073,821535.9,222,16663,49.3
99,1,18,1.1388,94573733.0,3525,2243297,0.07,8,35.97,25,0.4022,36868.0,2,1025,1,1,9.0,0.585,21,0.3954,11596.0,2,323,35.9
100,1,18,1.1388,94573733.0,3525,2243297,0.07,1,43.05,2,4.096,61985010.1,2285,1439682,5,4,9.0,0.585,2,9.404,3653842.5,1047,85249,42.86
101,1,18,1.1388,94573733.0,3525,2243297,0.07,3,39.8,10,1.8555,27048860.7,691,679588,5,4,9.0,0.585,5,2.6944,855237.4,371,20483,41.75
102,1,18,1.1388,94573733.0,3525,2243297,0.08,7,52.28,46,0.3203,2122244.4,54,40590,5,4,9.0,0.585,7,3.9465,255424.2,36,4712,54.21
103,1,18,1.1388,94573733.0,3525,2243297,0.07,2,34.26,124,0.0898,1235339.0,232,36053,5,4,9.0,0.585,78,0.1605,47012.6,107,562,83.65
104,1,18,1.1388,94573733.0,3525,2243297,0.07,4,46.33,58,0.4259,2140406.2,253,46198,5,4,9.0,0.585,22,1.197,96735.8,92,1901,50.89
105,1,18,1.1388,94573733.0,3525,2243297,0.07,8,35.97,25,0.4022,36868.0,2,1025,5,4,9.0,0.585,25,0.0404,72.0,1,2,36.0
106,1,10,1.3445,116894424.6,3754,2631545,0.07,1,46.62,2,4.69,73381109.2,2390,1574089,3,2,9.0,0.585,1,5.5402,21121758.7,2028,442183,47.77
107,1,10,1.3445,116894424.6,3754,2631545,0.08,5,37.92,217,0.0112,71018.0,7,1873,3,2,9.0,0.585,238,0.0081,10306.0,3,272,37.89
108,1,10,1.3445,116894424.6,3754,2631545,0.07,3,40.65,9,2.4136,37954438.8,792,933694,3,2,9.0,0.585,5,2.5531,9087794.2,683,222020,40.93
109,1,10,1.3445,116894424.6,3754,2631545,0.08,7,48.77,76,0.1374,881121.0,67,18068,3,2,9.0,0.585,83,0.1289,249582.4,60,5063,49.3
110,1,10,1.3445,116894424.6,3754,2631545,0.07,2,42.69,107,0.1263,1947308.6,237,45619,3,2,9.0,0.585,86,0.1819,487356.8,203,11914,40.91
111,1,10,1.3445,116894424.6,3754,2631545,0.07,4,45.73,48,0.5307,2651445.0,259,57980,3,2,9.0,0.585,45,0.5655,706040.4,219,15236,46.34
112,1,10,1.3445,116894424.6,3754,2631545,0.07,8,35.96,42,0.0835,7984.0,2,222,3,2,9.0,0.585,38,0.1216,2520.0,1,70,36.0
113,1,10,1.3445,116894424.6,3754,2631545,0.07,1,46.62,2,4.69,73381109.2,2390,1574089,4,3,9.0,0.585,2,4.1041,11778643.6,1795,256994,45.83
114,1,10,1.3445,116894424.6,3754,2631545,0.08,5,37.92,217,0.0112,71018.0,7,1873,4,3,9.0,0.585,218,0.0094,9861.0,3,260,37.93
115,1,10,1.3445,116894424.6,3754,2631545,0.07,3,40.65,9,2.4136,37954438.8,792,933694,4,3,9.0,0.585,9,2.2375,6507349.6,623,159168,40.88
116,1,10,1.3445,116894424.6,3754,2631545,0.08,7,48.77,76,0.1374,881121.0,67,18068,4,3,9.0,0.585,95,0.0842,111467.4,56,2379,46.85
117,1,10,1.3445,116894424.6,3754,2631545,0.07,2,42.69,107,0.1263,1947308.6,237,45619,4,3,9.0,0.585,107,0.1162,307172.2,170,7764,39.56
118,1,10,1.3445,116894424.6,3754,2631545,0.07,4,45.73,48,0.5307,2651445.0,259,57980,4,3,9.0,0.585,53,0.4166,401592.4,201,9146,43.91
